F1,F11,F15,F28,F32,F36,F53,F55,F57,F60,F65,F71,F74,F76,F77,F78,F85,F86,F92,F95,F97,F99,F106,F118,F126,F132,F40,class
35.4492187,258581.3904,14843658.69,2276.693946,42144.53081,31849598.71,31286.15255,1.143215167,1970952.247,0.42255129,141.9093522,54.26410732,89476.79455,0.931599227,0.335062389,3317492.721,139.4440963,151.7800702,41.77232245,94834.01549,0.429749627,748736.9527,22.66513277,0.529965722,1.024590503,1.567105002,2218.133201,1
52.4414062,245857.3914,14895244.71,1721.411321,31075.93272,31897905.43,23402.81345,1.269294579,2009391.166,0.417652791,214.9928421,54.63952305,90520.26223,0.926563897,0.197147509,3312361.535,120.3891473,132.1340286,43.16162508,101090.2847,0.40200463,721090.3081,26.45382416,0.539035093,1.030434893,1.532496427,1635.575406,1
54.7851562,340620.8515,14500079.16,3341.502677,61322.12128,31772688.23,88099.74365,0.693601633,1730862.655,0.466932621,188.1751132,72.83927668,159170.9327,0.681448008,0.08554908,3010253.984,170.2376972,94.50027599,36.08196796,70579.29724,0.558034863,870849.849,20.95807911,0.267431181,1.018265112,1.810949159,3227.480067,1
62.890625,304415.9794,14671064.89,2246.358696,40467.0943,31854901.23,95458.75921,0.658760872,1689515.266,0.47163149,238.1651202,64.50688548,124865.9882,0.786866861,0.01230826,3163510.61,177.8350197,104.413975,35.874743,69786.19216,0.562942621,875482.6063,18.74229061,0.294884082,1.017545278,1.711420655,2129.847068,1
71.6796875,469775.2476,13999849.53,4601.113966,82854.52348,31674039.96,176908.2063,0.390830773,1326798.894,0.500817912,195.8855458,84.72701779,224434.1889,0.532223548,0.01230826,2745060.503,127.7471588,145.3575488,55.79216574,168618.6129,0.179810258,468551.714,15.34886714,0.017001557,1.020797177,2.170357788,4360.764394,1
60.4492187,443031.0726,14112110.66,8634.272415,163239.0891,31242253.61,156141.0593,0.445061304,1421557.822,0.494573188,184.9956893,82.04792941,210411.3338,0.560243305,0.01230826,2815370.235,141.6170023,144.1454974,54.77997393,162526.6988,0.19579096,498283.6853,23.86606835,0.029383814,1.019172334,2.10572975,8591.531004,1
36.6210937,223910.0552,14950032.96,20991.92467,525213.2481,29410001.01,30759.81511,1.150583368,1969519.33,0.420095352,62.34713835,61.35844618,121040.8761,0.800378852,0.281976585,3160865.985,148.4175003,116.9669588,34.37953324,63875.87938,0.601374655,884129.4694,22.76366566,0.454352832,1.027487121,1.472484028,27642.80253,1
45.0195312,231545.6486,14944229.37,25181.38595,619255.8565,28908430.79,25086.58056,1.239122427,1999303.346,0.406160152,278.5615201,58.5644489,109131.4852,0.845360453,0.103134443,3211621.955,165.1194322,127.4105872,33.8255423,61827.76963,0.615527742,895548.2449,15.07662498,0.479828414,1.027528913,1.488530177,32592.4135,1
75.5859375,230714.7694,14961492.66,3091.22433,73713.67631,31722630.51,29635.42391,1.166755409,1972017.839,0.398532166,168.6877814,57.50397874,99473.01657,0.885604844,0.409699075,3278135.081,100.8686051,96.83584605,33.25599413,59740.4884,0.630442308,895780.1414,2.5062749,0.160711488,1.014948605,1.547975008,3879.667174,1
64.2578125,205932.9224,15067164.17,2287.24917,47892.10445,31828041.87,17790.7111,1.388363489,2023133.153,0.377405146,181.2198035,55.8968609,94112.43175,0.909662888,0.322442816,3310383.205,188.1574663,166.3367011,31.54039657,53751.42025,0.676320322,924172.2,18.96580098,0.191089839,1.01590432,1.462057808,2520.637076,1
38.28125,291115.3889,14673785.88,4412.148571,83191.87021,31664478.92,18992.37732,1.359979011,2027596.047,0.405304697,70.44924278,49.22799596,73770.35446,1.015426741,0.254408801,3385898.736,135.6077588,241.2635076,47.19532653,120301.534,0.326443571,610222.0971,3.32835221,0.190355418,1.012268557,1.734866853,4378.519485,1
